Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Date,Time,Version Booster,Booster landing
441,Kennedy,IM-2,U,TLI,NASA,Success,"February 27, 2025",00:16,F9B5,Success ( ASOG
442,Cape Canaveral,Starlink,"~16,500 kg",LEO,SpaceX,Success,"February 27, 2025",03:34,F9B5[,Success ( JRTI
443,Cape Canaveral,Starlink,"~16,500 kg",LEO,SpaceX,Success,"March 3, 2025",02:24,F9B5,Failure ( JRTI
444,Vandenberg,SPHEREx,758 kg,SSO,NASA,Success,"March 12, 2025",03:10,F9B5,Success ( LZ‑4
445,Cape Canaveral,Starlink,"~16,500 kg",LEO,SpaceX,Success,"March 13, 2025",02:35,F9B5,Success ( ASOG
446,Kennedy,Crew-10,"~13,000 kg",LEO,NASA,Success,"March 14, 2025",23:03,F9B5,Success ( LZ‑1
447,Vandenberg,Transporter-13,U,SSO,,Success,"March 15, 2025",06:43,F9B5,Success ( LZ‑4
448,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,Success,"March 15, 2025",11:35,F9B5,Success ( JRTI
449,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,Success,"March 18, 2025",19:57,F9B5,Success ( ASOG
450,Vandenberg,NROL-57,U,LEO,NRO,Success,"March 21, 2025",06:49,F9B5,Success ( LZ‑4
451,Cape Canaveral,NROL-69,U,LEO,USSF,Success,"March 24, 2025",17:48,F9B5,Success ( LZ‑1
452,Vandenberg,Starlink,"~15,500 kg",LEO,SpaceX,Success,"March 26, 2025",22:11,F9B5,Success ( OCISLY
453,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,Success,"March 31, 2025",19:52,F9B5,Success ( JRTI
454,Kennedy,Fram2,"~13,000 kg",Polar,Chun Wang,Success,"April 1, 2025",01:46,F9B5,Success ( ASOG
455,Vandenberg,Starlink,"~15,500 kg",LEO,SpaceX,Success,"April 4, 2025",01:02,F9B5,Success ( OCISLY
456,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,Success,"April 6, 2025",03:07,F9B5,Success ( JRTI
457,Vandenberg,Starlink,"~15,500 kg",LEO,SpaceX,Success,"April 7, 2025",23:06,F9B5,Success ( OCISLY
458,Vandenberg,NROL-192,U,LEO,NRO,Success,"April 12, 2025",12:25,F9B5,Success ( OCISLY
459,Kennedy,Starlink,"~16,500 kg",LEO,SpaceX,Success,"April 13, 2025",00:53,F9B5,Success ( ASOG
460,Cape Canaveral,Starlink,"~15,500 kg",LEO,SpaceX,Success,"April 14, 2025",04:00,F9B5,Success ( JRTI
461,Vandenberg,NROL-145,U,LEO,NRO,Success,"April 20, 2025",12:29,F9B5,Success ( OCISLY
462,Kennedy,SpaceX CRS-32,"3,021 kg",LEO,NASA,Success,"April 21, 2025",08:15,F9B5,Success ( LZ‑1
463,Cape Canaveral,Bandwagon-3,U,LEO,Republic of Korea Armed Forces,Success,"April 22, 2025",00:48,F9B5,Success ( LZ‑2
464,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,Success,"April 25, 2025",01:52,F9B5,Success ( ASOG
465,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,Success,"April 28, 2025",02:09,F9B5,Success ( JRTI
466,Vandenberg,Starlink,"~15,500 kg",LEO,SpaceX,Success,"April 28, 2025",20:42,F9B5,Success ( OCISLY
467,Kennedy,Starlink,"~17,100 kg",LEO,SpaceX,Success,"April 29, 2025",02:34,F9B5,Success ( ASOG
468,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,Success,"May 2, 2025",01:51,F9B5,Success ( JRTI
469,Kennedy,Starlink,"~16,675 kg",LEO,SpaceX,Success,"May 4, 2025",08:54,F9B5,Success ( ASOG
470,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,Success,"May 7, 2025",01:17,F9B5,Success ( JRTI
471,Vandenberg,Starlink,"~14,950 kg",LEO,SpaceX,Success,"May 10, 2025",00:19,F9B5,Success ( OCISLY
472,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,Success,"May 10, 2025",06:28,F9B5,Success ( ASOG
473,Vandenberg,Starlink,"~14,950 kg",LEO,SpaceX,Success,"May 13, 2025",01:15,F9B5,Success ( OCISLY
474,Kennedy,Starlink,"~16,100 kg",LEO,SpaceX,Success,"May 13, 2025",05:02,F9B5,Success ( JRTI
475,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,Success,"May 14, 2025",16:38,F9B5,Success ( ASOG
476,Vandenberg,Starlink,"~14,950 kg",LEO,SpaceX,Success,"May 16, 2025",13:43,F9B5,Success ( OCISLY
477,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,Success,"May 21, 2025",03:19,F9B5,Success ( JRTI
478,Vandenberg,Starlink,"~15,500 kg",LEO,SpaceX,Success,"May 23, 2025",22:32,F9B5,Success ( OCISLY
479,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,Success,"May 24, 2025",17:19,F9B5,Success ( ASOG
480,Vandenberg,Starlink,"~17,500 kg",SSO,SpaceX,Success,"May 27, 2025",16:57,F9B5,Success ( OCISLY
481,Kennedy,Starlink,"~15,500 kg",LEO,SpaceX,Success,"May 28, 2025",13:30,F9B5,Success ( JRTI
482,Cape Canaveral,GPS III,"4,350 kg",MEO,USSF,Success,"May 30, 2025",17:37,F9B5,Success ( ASOG
483,Vandenberg,Starlink,"~15,500 kg",LEO,SpaceX,Success,"May 31, 2025",20:10,F9B5,Success ( OCISLY
484,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,Success,"June 3, 2025",04:43,F9B5,Success ( JRTI
485,Vandenberg,Starlink,"~15,500 kg",LEO,SpaceX,Success,"June 4, 2025",23:40,F9B5,Success ( OCISLY
486,Cape Canaveral,SXM-10,"6,400 kg",GTO,Sirius XM,Success,"June 7, 2025",04:54,F9B5,Success ( ASOG
487,Vandenberg,Starlink,"~14,950 kg",LEO,SpaceX,Success,"June 8, 2025",14:20,F9B5,Success ( OCISLY
488,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,Success,"June 10, 2025",13:05,F9B5,Success ( JRTI
489,Vandenberg,Starlink,"~14,950 kg",LEO,SpaceX,Success,"June 13, 2025",01:54,F9B5,Success ( OCISLY
490,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,Success,"June 13, 2025",15:29,F9B5,Success ( ASOG
491,Vandenberg,Starlink,"~14,950 kg",LEO,SpaceX,Success,"June 17, 2025",03:36,F9B5,Success ( OCISLY
492,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,Success,"June 18, 2025",05:55,F9B5,Success ( JRTI
493,Cape Canaveral,Starlink,"~15,500 kg",LEO,SpaceX,Success,"June 23, 2025",05:58,F9B5,Success ( ASOG
494,Vandenberg,Transporter-14,U,SSO,,Success,"June 23, 2025",21:25,F9B5,Success ( OCISLY
495,Kennedy,Axiom Mission 4,"~13,000 kg",LEO,Axiom Space,Success,"June 25, 2025",06:31,F9B5,Success ( LZ‑1
496,Cape Canaveral,Starlink,"~15,500 kg",LEO,SpaceX,Success,"June 25, 2025",19:54,F9B5,Success ( JRTI
497,Cape Canaveral,Starlink,"~15,500 kg",LEO,SpaceX,Success,"June 28, 2025",04:26,F9B5,Success ( ASOG
498,Vandenberg,Starlink,"~14,950 kg",LEO,SpaceX,Success,"June 28, 2025",17:13,F9B5,Success ( OCISLY
499,Kennedy,MTG-S1,"3,800 kg",GTO,EUMETSAT,Success,"July 1, 2025",21:04,F9B5,Success ( JRTI
500,Cape Canaveral,Starlink,"~15,500 kg",LEO,SpaceX,Success,"July 2, 2025",06:28,F9B5,Success ( ASOG
501,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,Success,"July 8, 2025",08:21,F9B5,Success ( ASOG
502,Cape Canaveral,Dror-1,"4,000 kg",GTO,IAI,Success,"July 13, 2025",05:04,F9B5,Success ( JRTI
503,Vandenberg,Starlink,"~14,950 kg",LEO,SpaceX,Success,"July 16, 2025",02:05,F9B5,Success ( OCISLY
504,Cape Canaveral,KuiperSat,"~14,784 kg",LEO,Amazon,Success,"July 16, 2025",06:30,F9B5,Success ( ASOG
505,Vandenberg,Starlink,"~17,500 kg",SSO,SpaceX,Success,"July 19, 2025",03:52,F9B5,Success ( OCISLY
506,Cape Canaveral,O3b mPOWER,"3,400 kg",MEO,SES,Success,"July 22, 2025",21:12,F9B5,Success ( JRTI
507,Vandenberg,TRACERS,~920 kg,SSO,NASA,Success,"July 23, 2025",18:13,F9B5,Success ( LZ‑4
508,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,Success,"July 26, 2025",09:01,F9B5,Success ( ASOG
509,Vandenberg,Starlink,"~17,500 kg",SSO,SpaceX,Success,"July 27, 2025",04:31,F9B5,Success ( OCISLY
510,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,Success,"July 30, 2025",03:37,F9B5,Success ( JRTI
511,Vandenberg,Starlink,"~14,060 kg",SSO,SpaceX,Success,"July 31, 2025",18:35,F9B5,Success ( OCISLY
